Flight No.,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome,N/A,FH 2,FH 3,Demo flights,logistics,Crewed missions,Commercial satellites,Scientific satellites,Military satellites,Rideshares,Current,In development,Retired,Cancelled,Spacecraft,Cargo,Crewed,Test vehicles,Unflown,Orbital,Atmospheric,Landing sites,Other facilities,Support,Contracts,R&D programs,Key people,Related,General,People,Vehicles,Launches by rocket type,Launches by spaceport,"Agencies, companies and facilities",Other mission lists and timelines,Version Booster,Booster landing,Date,Time
23,Cape Canaveral,SpaceX CRS-8,"3,136 kg",LEO,NASA,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 FT,Success,8 April 2016,8 April 2016
24,Cape Canaveral,JCSAT-14,"4,696 kg",GTO,SKY Perfect JSAT Group,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 FT,Success,6 May 2016,6 May 2016
25,Cape Canaveral,Thaicom 8,"3,100 kg",GTO,Thaicom,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 FT,Success,27 May 2016,27 May 2016
26,Cape Canaveral,ABS-2A,"3,600 kg",GTO,ABS,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 FT,Failure,15 June 2016,15 June 2016
27,Cape Canaveral,SpaceX CRS-9,"2,257 kg",LEO,NASA,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 FT,Success,18 July 2016,18 July 2016
28,Cape Canaveral,JCSAT-16,"4,600 kg",GTO,SKY Perfect JSAT Group,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 FT,Success,14 August 2016,14 August 2016
29,VAFB,Iridium NEXT,"9,600 kg",Polar,Iridium Communications,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 FT,Success,14 January 2017,14 January 2017
30,KSC,SpaceX CRS-10,"2,490 kg",LEO,NASA,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 FT,Success,19 February 2017,19 February 2017
31,KSC,EchoStar 23,"5,600 kg",GTO,EchoStar,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 FT,No attempt,16 March 2017,16 March 2017
32,KSC,SES-10,"5,300 kg",GTO,SES,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 FT♺,Success,30 March 2017,30 March 2017
